cycle,stage,elapsed_seconds,ParamA,ParamEyeLOpen,ParamEyeROpen,ParamBreath,ParamEyeBallX,ParamEyeBallY,ParamAngleX,ParamAngleY,ParamAngleZ,changed_drawables_from_neutral,geometry_dirty,render_order_dirty,animation_playing,visible_masked_ids,visible_inverted_ids,screenshot
2,left-eye-closed,72.8086,0,0,1,0,0,0,0,0,0,13,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,
2,right-eye-closed,74.8254,0,1,0,0,0,0,0,0,0,13,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,
2,both-eyes-closed,76.8088,0,0,0,0,0,0,0,0,0,26,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,
2,eyes-open,78.8250,0,1,1,0,0,0,0,0,0,0,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,
2,breath-low,80.8248,0,1,1,0,0,0,0,0,0,0,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,
2,breath-high,82.8080,0,1,1,1,0,0,0,0,0,156,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,
2,breath-wave,84.8249,0,1,1,0.7837248,0,0,0,0,0,156,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,
2,look-left,86.8242,0,1,1,0,-0.8,0,-15,0,0,93,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,
2,look-right,88.8244,0,1,1,0,0.8,0,15,0,0,93,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,
2,look-up,90.8079,0,1,1,0,0,0.8,0,15,0,93,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,
