run,seconds,phase,working_bytes,private_bytes,unity_bytes,motion_playables
e3fd-shots,105.134155,Ready,291856384,510603264,77741737,
e3fd-shots,110.134946,Ready,291893248,512716800,77743238,
e3fd-shots,115.134977,Ready,291893248,512716800,77753913,
e3fd-shots,120.135681,Ready,291893248,512688128,77753992,
e3fd-shots,125.13612,Ready,291897344,512688128,77753993,
e3fd-shots,130.137391,Ready,291897344,512688128,77764976,
e3fd-shots,135.138614,Ready,291872768,512634880,77765065,
e3fd-shots,140.139013,Ready,291889152,512663552,77765065,
e3fd-shots,145.140374,Ready,291889152,512663552,77782793,
e3fd-shots,150.141567,Ready,291958784,514777088,77784199,
e3fd-shots,155.142176,Ready,291921920,512663552,77783426,
e3fd-shots,160.14261,Ready,291921920,512663552,77793657,
e3fd-shots,165.14416,Ready,291921920,512663552,77794290,
e3fd-shots,170.144676,Ready,291860480,510550016,77792790,
e3fd-shots,175.145703,Ready,291872768,510578688,77803345,
e3fd-shots,180.14813,Ready,291872768,510578688,77803464,
e3fd-shots,185.148625,Ready,291872768,510578688,77803899,
e3fd-shots,190.148982,Ready,291872768,510578688,77814209,
e3fd-shots,195.149365,Ready,291856384,509521920,77813806,
e3fd-shots,200.149492,Ready,291856384,509521920,77813569,
e3fd-shots,205.149697,Ready,291856384,509521920,77824321,
e3fd-shots,210.150523,Ready,291856384,509521920,77824321,
e3fd-shots,215.151265,Ready,291856384,509521920,77824599,
e3fd-shots,220.151864,Ready,291860480,509526016,77835201,
e3fd-shots,225.152354,Ready,291860480,509526016,77835517,
e3fd-shots,230.153146,Ready,291860480,509526016,77835241,
e3fd-shots,235.153934,Ready,291860480,509526016,77846121,
e3fd-shots,240.157158,Ready,291860480,509526016,77846240,
e3fd-shots,245.159704,Ready,291860480,509526016,77846477,
e3fd-shots,250.160439,Ready,291950592,512696320,77858927,
e3fd-shots,255.161032,Ready,291885056,510582784,77858059,
e3fd-shots,260.162038,Ready,291885056,510582784,77857901,
e3fd-shots,265.162595,Ready,291950592,510582784,77882321,
e3fd-shots,270.163941,Ready,291950592,510582784,77882321,
e3fd-shots,275.165295,Ready,291950592,510582784,77882400,
e3fd-shots,280.166647,Ready,291950592,510582784,77893289,
e3fd-shots,285.167315,Ready,291950592,510582784,77893289,
e3fd-shots,290.168318,Ready,291954688,510582784,77893536,
e3fd-shots,295.16923,Ready,291954688,510582784,77904344,
e3fd-shots,300.170294,Ready,292139008,510615552,77904502,
e3fd-shots,305.170703,Ready,292139008,510615552,77904344,
e3fd-shots,310.172442,Ready,292122624,509558784,77914361,
e3fd-shots,315.172923,Ready,292122624,509558784,77914361,
e3fd-shots,320.173691,Ready,292122624,509558784,77914440,
e3fd-shots,325.175018,Ready,292122624,509558784,77925153,
e3fd-shots,330.175252,Ready,292122624,509558784,77925272,
e3fd-shots,335.175734,Ready,292126720,509562880,77925351,
e3fd-shots,340.176212,Ready,292126720,509562880,77936308,
e3fd-shots,345.176879,Ready,292130816,509562880,77936278,
e3fd-shots,350.177648,Ready,292114432,509534208,77936041,
e3fd-shots,355.17928,Ready,292114432,509534208,77947188,
e3fd-shots,360.179906,Ready,292216832,509534208,77946833,
e3fd-shots,365.181612,Ready,292216832,509534208,77946952,
e3fd-shots,370.182325,Ready,292220928,509534208,77957785,
e3fd-shots,375.182743,Ready,292220928,509534208,77957785,
e3fd-shots,380.18328,Ready,292220928,509534208,77958260,
e3fd-shots,385.184471,Ready,292220928,509534208,77968657,
e3fd-shots,390.184873,Ready,292220928,509534208,77968697,
e3fd-shots,395.186015,Ready,292220928,509534208,77968737,
e3fd-shots,400.187372,Ready,292188160,509472768,77979576,
e3fd-shots,405.188509,Ready,292188160,509472768,77979655,
e3fd-shots,410.189385,Ready,292188160,509472768,77979734,
e3fd-shots,415.190332,Ready,292188160,509472768,77990289,
